HTTP/1.1 200 OK
Date: Fri, 13 Nov 2020 16:33:27 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Thu, 12 Nov 2020 22:24:14 GMT
ETag: "463178-40333-5b3f05f350b20"
Accept-Ranges: bytes
Content-Length: 262963
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201112|A|83627|0|255465|Q
20201112|AA|594943|300|1307585|Q
20201112|AAA|121|0|221|Q
20201112|AAAU|55727|0|85823|Q
20201112|AACG|78597|9|132297|Q
20201112|AACQ|100|0|1993|Q
20201112|AACQU|1157|0|2411|Q
20201112|AACQW|8211|0|17387|Q
20201112|AADR|367|0|2783|Q
20201112|AAIC|69278|2000|140128|Q
20201112|AAICpB|100|0|101|Q
20201112|AAL|10459238|476568|26094540|Q
20201112|AAMC|676|0|790|Q
20201112|AAME|20|0|20|Q
20201112|AAN|37266|0|63393|Q
20201112|AAOI|106763|2340|172750|Q
20201112|AAON|23941|0|34831|Q
20201112|AAP|265776|400|372698|Q
20201112|AAPL|20928642|109387|33265460|Q
20201112|AAT|14980|0|61666|Q
20201112|AAU|112002|0|171286|Q
20201112|AAWW|116369|23970|227456|Q
20201112|AAXJ|732230|0|834191|Q
20201112|AAXN|34622|0|102352|Q
20201112|AB|76913|500|115045|Q
20201112|ABB|271752|226|417878|Q
20201112|ABBV|804573|5438|1687286|Q
20201112|ABC|98106|0|181270|Q
20201112|ABCB|65721|0|118000|Q
20201112|ABCM|171969|0|181982|Q
20201112|ABEO|445118|14571|787837|Q
20201112|ABEQ|665|0|665|Q
20201112|ABEV|2034524|1398|3186322|Q
20201112|ABG|24032|373|40375|Q
20201112|ABIO|67096|2400|92732|Q
20201112|ABM|19405|0|59616|Q
20201112|ABMD|45758|0|53964|Q
20201112|ABR|354235|2211|1119847|Q
20201112|ABRpA|3040|0|4954|Q
20201112|ABRpB|80|0|664|Q
20201112|ABRpC|785|0|4584|Q
20201112|ABST|2631|0|9292|Q
20201112|ABT|417795|1213|772095|Q
20201112|ABTX|3230|0|6060|Q
20201112|ABUS|225502|14808|746528|Q
20201112|AC|217|0|454|Q
20201112|ACA|18133|0|56420|Q
20201112|ACACU|2100|0|3388|Q
20201112|ACAD|51133|0|160068|Q
20201112|ACAM|1083|0|1742|Q
20201112|ACAMW|2750|0|8460|Q
20201112|ACB|11901875|668479|22963498|Q
20201112|ACBI|5155|0|9326|Q
20201112|ACC|64231|0|85616|Q
20201112|ACCD|14127|0|25988|Q
20201112|ACCO|111588|100|211346|Q
20201112|ACEL|33276|0|41124|Q
20201112|ACER|731|100|7941|Q
20201112|ACES|152986|0|179777|Q
20201112|ACET|1695|0|5359|Q
20201112|ACEVW|100|100|100|Q
20201112|ACGL|90172|151|314333|Q
20201112|ACGLO|1075|0|5189|Q
20201112|ACGLP|1863|0|6490|Q
20201112|ACH|5033|1000|16769|Q
20201112|ACHC|30281|1|107344|Q
20201112|ACHV|42352|100|79720|Q
20201112|ACI|269418|2948|511747|Q
20201112|ACIA|135058|0|155903|Q
20201112|ACIO|3662|0|6583|Q
20201112|ACIU|23180|160|34048|Q
20201112|ACIW|51730|0|149293|Q
20201112|ACLS|134694|1900|197204|Q
20201112|ACM|80584|1038|337793|Q
20201112|ACMR|22881|0|35713|Q
20201112|ACN|149152|700|379338|Q
20201112|ACNB|5082|0|6426|Q
20201112|ACND|2640|0|2640|Q
20201112|ACND/WS|5|0|5|Q
20201112|ACOR|330683|27528|599151|Q
20201112|ACP|18780|1014|35755|Q
20201112|ACRE|20373|100|41194|Q
20201112|ACRS|41831|5066|74272|Q
20201112|ACRX|330518|5640|600931|Q
20201112|ACSG|33|0|45|Q
20201112|ACSI|1|0|7|Q
20201112|ACST|1924965|128298|3107256|Q
20201112|ACTG|4056|0|166905|Q
20201112|ACTV|498|0|658|Q
20201112|ACU|221|0|682|Q
20201112|ACV|15722|0|29245|Q
20201112|ACVF|4395|0|7799|Q
20201112|ACWF|339|0|517|Q
20201112|ACWI|290363|0|562682|Q
20201112|ACWV|23780|0|142157|Q
20201112|ACWX|127386|0|285603|Q
20201112|ACY|3616|1209|22034|Q
20201112|ADAP|72397|1767|283942|Q
20201112|ADBE|133816|1156|449521|Q
20201112|ADC|30455|201|72647|Q
20201112|ADCT|44223|0|59100|Q
20201112|ADES|8755|0|26751|Q
20201112|ADFI|1|0|2|Q
20201112|ADI|268630|300|441882|Q
20201112|ADIL|273022|4033|479964|Q
20201112|ADILW|300|0|300|Q
20201112|ADM|184405|275|452814|Q
20201112|ADMA|283048|18900|700254|Q
20201112|ADME|1066|0|2418|Q
20201112|ADMP|1771467|19206|2661019|Q
20201112|ADMS|12619|1421|32932|Q
20201112|ADNT|207024|0|347258|Q
20201112|ADOCU|12100|0|71244|Q
20201112|ADP|123248|0|246454|Q
20201112|ADPT|157250|515|528942|Q
20201112|ADRE|2847|0|6019|Q
20201112|ADS|215047|0|323672|Q
20201112|ADSK|78452|0|248370|Q
20201112|ADT|361454|1000|669004|Q
20201112|ADTN|23201|501|47185|Q
20201112|ADTX|22619|0|52697|Q
20201112|ADUS|6107|0|16995|Q
20201112|ADV|282001|0|641171|Q
20201112|ADVM|282844|0|483110|Q
20201112|ADX|29025|0|51594|Q
20201112|ADXS|228066|0|401475|Q
20201112|AE|218|100|1951|Q
20201112|AEB|1228|0|2399|Q
20201112|AEE|165762|3324|390021|Q
20201112|AEF|6299|0|11993|Q
20201112|AEFC|12089|3000|15076|Q
20201112|AEG|246546|100|545586|Q
20201112|AEGN|3676|0|12220|Q
20201112|AEHL|70694|100|105960|Q
20201112|AEHR|47500|0|85368|Q
20201112|AEIS|40469|0|67295|Q
20201112|AEL|51272|339|92849|Q
20201112|AELpA|13233|1350|18137|Q
20201112|AELpB|3937|0|8745|Q
20201112|AEM|109239|0|220115|Q
20201112|AEMD|29802|0|48228|Q
20201112|AENZ|17890|0|18042|Q
20201112|AEO|1427086|832110|2295698|Q
20201112|AEP|78735|930|425240|Q
20201112|AEPPL|98917|2355|203042|Q
20201112|AEPPZ|5509|3560|157709|Q
20201112|AER|189722|124|587432|Q
20201112|AERI|107067|108|225829|Q
20201112|AES|345796|374|1527476|Q
20201112|AESE|251232|1700|465315|Q
20201112|AESR|12684|0|19686|Q
20201112|AEY|128953|181|196890|Q
20201112|AEYE|23588|0|33985|Q
20201112|AEZS|675707|4700|1060417|Q
20201112|AFB|7627|0|9141|Q
20201112|AFC|932|0|1860|Q
20201112|AFG|34567|0|113231|Q
20201112|AFGB|3921|0|6432|Q
20201112|AFGC|192|0|412|Q
20201112|AFGD|347|0|1481|Q
20201112|AFGE|403|0|671|Q
20201112|AFGH|202|0|300|Q
20201112|AFI|78411|430|121742|Q
20201112|AFIB|21822|0|28424|Q
20201112|AFIF|2931|0|63867|Q
20201112|AFIN|55626|1586|117235|Q
20201112|AFINP|2620|0|8054|Q
20201112|AFK|1049|0|3831|Q
20201112|AFL|373803|367|716636|Q
20201112|AFLG|92|0|92|Q
20201112|AFMD|63329|1724|345997|Q
20201112|AFT|1997|0|4539|Q
20201112|AFTY|1136|0|2328|Q
20201112|AFYA|38833|0|70231|Q
20201112|AG|1703608|2440|2332998|Q
20201112|AGCO|32225|3142|95911|Q
20201112|AGCUU|700|0|23104|Q
20201112|AGD|5318|0|9320|Q
20201112|AGE|11761|120|24964|Q
20201112|AGEN|914400|5549|1490459|Q
20201112|AGFS|10695|0|15488|Q
20201112|AGG|2825617|7800|3798768|Q
20201112|AGGP|4|0|673|Q
20201112|AGGY|26233|0|266665|Q
20201112|AGI|167984|20|628241|Q
20201112|AGIO|42414|0|124060|Q
20201112|AGLE|13988|0|44962|Q
20201112|AGM|4435|0|14378|Q
20201112|AGMH|100|0|800|Q
20201112|AGMpD|1840|0|2921|Q
20201112|AGMpF|4729|0|6229|Q
20201112|AGNC|875989|1100|1829665|Q
20201112|AGNCM|3340|0|7809|Q
20201112|AGNCN|8573|34|16258|Q
20201112|AGNCO|15955|600|74540|Q
20201112|AGNCP|713|0|11129|Q
20201112|AGO|52162|0|162950|Q
20201112|AGOpB|475|0|475|Q
20201112|AGOpE|892|0|1544|Q
20201112|AGOpF|175|0|275|Q
20201112|AGQ|110971|25329|338063|Q
20201112|AGR|94526|1500|135976|Q
20201112|AGRO|7559|0|19855|Q
20201112|AGRX|127754|1506|275112|Q
20201112|AGS|52062|1200|148742|Q
20201112|AGT|5|0|5|Q
20201112|AGTC|23726|1707|36354|Q
20201112|AGX|6098|0|23378|Q
20201112|AGYS|28469|0|99761|Q
20201112|AGZ|3485|0|13250|Q
20201112|AGZD|4645|0|14129|Q
20201112|AHACU|1500|0|1505|Q
20201112|AHC|6029|300|23566|Q
20201112|AHCO|90988|0|165144|Q
20201112|AHH|18194|0|67362|Q
20201112|AHHpA|1971|0|21242|Q
20201112|AHLpC|1614|180|7763|Q
20201112|AHLpD|868|0|2701|Q
20201112|AHLpE|5690|0|8501|Q
20201112|AHPI|1615883|8069|2632854|Q
20201112|AHT|781504|52629|1237861|Q
20201112|AHTpD|15142|0|20240|Q
20201112|AHTpF|60885|10|79038|Q
20201112|AHTpG|10743|125|69174|Q
20201112|AHTpH|100175|1600|107598|Q
20201112|AHTpI|95137|0|101162|Q
20201112|AIA|39731|0|43908|Q
20201112|AIEQ|2723|0|6287|Q
20201112|AIF|12785|0|23978|Q
20201112|AIG|941830|118019|2145210|Q
20201112|AIG/WS|33077|0|76772|Q
20201112|AIGpA|5908|1000|12147|Q
20201112|AIH|368|0|1474|Q
20201112|AIHS|403429|1556|1043437|Q
20201112|AIIQ|392|0|421|Q
20201112|AIKI|140629|0|201885|Q
20201112|AIM|58969|1100|138274|Q
20201112|AIMC|85217|1300|242501|Q
20201112|AIN|28057|0|56733|Q
20201112|AINC|5407|200|6504|Q
20201112|AINV|59345|300|108888|Q
20201112|AIO|26828|500|74686|Q
20201112|AIQ|17091|0|26302|Q
20201112|AIR|23210|28|49643|Q
20201112|AIRG|4597|0|12478|Q
20201112|AIRI|3082|0|19288|Q
20201112|AIRR|3674|0|5685|Q
20201112|AIRT|13|0|14|Q
20201112|AIRTW|14605|5|22870|Q
20201112|AIT|7945|0|23347|Q
20201112|AIV|191612|100|457392|Q
20201112|AIW|1020|0|1220|Q
20201112|AIZ|26907|0|58839|Q
20201112|AIZP|97|0|248|Q
20201112|AJAX/U|500|0|16387|Q
20201112|AJG|65954|0|124426|Q
20201112|AJRD|40985|200|135242|Q
20201112|AJX|15482|0|18054|Q
20201112|AJXA|147|0|147|Q
20201112|AKAM|213452|20300|433500|Q
20201112|AKBA|557716|7000|1286984|Q
20201112|AKER|10191887|146248|16775951|Q
20201112|AKO/A|31|0|32|Q
20201112|AKO/B|293|0|325|Q
20201112|AKR|83485|0|270264|Q
20201112|AKRO|44428|0|93745|Q
20201112|AKTS|97533|74|136108|Q
20201112|AKTX|12165|0|40213|Q
20201112|AKU|6769|0|20388|Q
20201112|AKUS|11191|0|63518|Q
20201112|AL|98358|0|179081|Q
20201112|ALAC|375|0|402|Q
20201112|ALACW|22235|0|35935|Q
20201112|ALB|124651|172|192859|Q
20201112|ALBO|9051|0|21767|Q
20201112|ALC|376203|0|572441|Q
20201112|ALCO|4450|0|4756|Q
20201112|ALDX|51198|260|122140|Q
20201112|ALE|60870|0|81177|Q
20201112|ALEC|76682|382|122852|Q
20201112|ALEX|20414|0|57306|Q
20201112|ALFA|18|0|39|Q
20201112|ALG|2675|0|5024|Q
20201112|ALGM|91085|0|170510|Q
20201112|ALGN|62500|439|130210|Q
20201112|ALGS|22982|0|40665|Q
20201112|ALGT|19670|50|35589|Q
20201112|ALIM|8619|0|14062|Q
20201112|ALINpA|200|0|1245|Q
20201112|ALINpB|7868|0|7974|Q
20201112|ALINpE|2346|0|3322|Q
20201112|ALJJ|5374|0|32064|Q
20201112|ALK|280451|1879|509186|Q
20201112|ALKS|30533|0|84124|Q
20201112|ALL|330052|5619|532580|Q
20201112|ALLE|114573|0|320054|Q
20201112|ALLK|12381|0|22872|Q
20201112|ALLO|172500|0|279277|Q
20201112|ALLT|18134|62|30363|Q
20201112|ALLY|273811|1|873130|Q
20201112|ALLYpA|17623|0|41573|Q
20201112|ALLpB|3352|0|23127|Q
20201112|ALLpG|3076|0|10929|Q
20201112|ALLpH|11263|0|30912|Q
20201112|ALLpI|3001|1000|6733|Q
20201112|ALNA|42444|400|76758|Q
20201112|ALNY|47256|0|159092|Q
20201112|ALOT|1130|0|1839|Q
20201112|ALPN|21088|0|31516|Q
20201112|ALPpQ|1971|0|5198|Q
20201112|ALRM|26375|0|48649|Q
20201112|ALRN|77423|5916|215537|Q
20201112|ALRS|1204|0|8288|Q
20201112|ALSK|22936|0|107611|Q
20201112|ALSN|55407|3|135219|Q
20201112|ALT|174302|9300|786149|Q
20201112|ALTA|4192|0|5502|Q
20201112|ALTG|6773|0|83132|Q
20201112|ALTG/WS|4|0|4|Q
20201112|ALTL|2980|0|4511|Q
20201112|ALTM|9975|632|22665|Q
20201112|ALTR|38463|400|56767|Q
20201112|ALTY|5262|0|7118|Q
20201112|ALV|55283|0|67368|Q
20201112|ALVR|22707|0|31052|Q
20201112|ALX|5284|0|8353|Q
20201112|ALXN|53879|0|136248|Q
20201112|ALXO|13033|0|27140|Q
20201112|ALYA|2|0|984|Q
20201112|ALpA|12435|0|60388|Q
20201112|AM|432420|0|805778|Q
20201112|AMAG|658065|0|861558|Q
20201112|AMAL|4167|0|9505|Q
20201112|AMAT|515737|1473|2127473|Q
20201112|AMBA|24362|121|72508|Q
20201112|AMBC|42012|0|63027|Q
20201112|AMBC/WS|200|0|200|Q
20201112|AMBO|184642|1294|314004|Q
20201112|AMC|2543898|230940|4805694|Q
20201112|AMCA|3150|700|4430|Q
20201112|AMCI|1106|0|44235|Q
20201112|AMCIW|12500|0|49064|Q
20201112|AMCR|1109579|38992|1907765|Q
20201112|AMCX|62754|0|145260|Q
20201112|AMD|5067334|19586|13219832|Q
20201112|AME|176188|600|276387|Q
20201112|AMED|8979|0|29316|Q
20201112|AMEH|9379|0|21778|Q
20201112|AMG|52948|0|102961|Q
20201112|AMGN|739080|390|961338|Q
20201112|AMH|82125|4|410267|Q
20201112|AMHpD|5622|0|28790|Q
20201112|AMHpE|1107|0|18028|Q
20201112|AMHpF|567|0|1045|Q
20201112|AMHpG|100|0|100|Q
20201112|AMHpH|381|0|550|Q
20201112|AMJ|244364|0|441941|Q
20201112|AMK|13937|0|141452|Q
20201112|AMKR|75023|0|154324|Q
20201112|AMLP|240777|1858|557262|Q
20201112|AMN|36338|0|76791|Q
20201112|AMNB|12292|0|25911|Q
20201112|AMOM|37|0|1067|Q
20201112|AMOT|1865|0|3239|Q
20201112|AMOV|11|0|427|Q
20201112|AMP|68833|525|128227|Q
20201112|AMPE|130909|100|312557|Q
20201112|AMPH|13688|0|31848|Q
20201112|AMPY|27739|3690|123671|Q
20201112|AMRB|300|0|725|Q
20201112|AMRC|25339|0|61075|Q
20201112|AMRH|602269|28963|1215221|Q
20201112|AMRHW|10|10|309|Q
20201112|AMRK|8865|0|14542|Q
20201112|AMRN|1069997|0|2630819|Q
20201112|AMRS|296801|16766|992115|Q
20201112|AMRX|71047|2000|147511|Q
20201112|AMS|4062|0|22387|Q
20201112|AMSC|37674|0|72092|Q
20201112|AMSF|4964|100|10046|Q
20201112|AMST|15128|0|21533|Q
20201112|AMSWA|6191|0|14299|Q
20201112|AMT|294265|0|561073|Q
20201112|AMTB|1894|0|3876|Q
20201112|AMTI|9016|0|12355|Q
20201112|AMTX|1045374|66245|1949588|Q
20201112|AMU|1272|0|39497|Q
20201112|AMUB|800|0|1689|Q
20201112|AMWD|7723|0|18449|Q
20201112|AMWL|235853|1325|737648|Q
20201112|AMX|113869|402|327121|Q
20201112|AMYT|2620|0|16756|Q
20201112|AMZA|11693|0|21087|Q
20201112|AMZN|627116|5660|1152218|Q
20201112|AN|114683|200|170189|Q
20201112|ANAB|9674|0|28617|Q
20201112|ANAT|6669|0|9434|Q
20201112|ANCN|19842|0|34354|Q
20201112|ANDA|156|0|311|Q
20201112|ANDAW|10000|0|10600|Q
20201112|ANDE|17055|0|51105|Q
20201112|ANET|90683|0|145116|Q
20201112|ANEW|784|0|1855|Q
20201112|ANF|203902|15232|377193|Q
20201112|ANGI|849688|0|1677245|Q
20201112|ANGL|250136|500|442623|Q
20201112|ANGO|13313|0|34923|Q
20201112|ANH|19791|0|81809|Q
20201112|ANHpA|100|0|701|Q
20201112|ANHpC|10|0|116|Q
20201112|ANIK|14608|0|21547|Q
20201112|ANIP|4669|0|7775|Q
20201112|ANIX|5994|12|13505|Q
20201112|ANNX|4743|0|10377|Q
20201112|ANPC|1475|0|4694|Q
20201112|ANSS|39289|0|57347|Q
20201112|ANTE|3944|0|19001|Q
20201112|ANTM|255964|57|484943|Q
20201112|ANVS|3024|0|12839|Q
20201112|ANY|291349|1375|536216|Q
20201112|AOA|17196|0|35990|Q
20201112|AOD|69455|4750|151826|Q
20201112|AOK|102154|0|123929|Q
20201112|AOM|65985|21075|101294|Q
20201112|AON|139018|0|341196|Q
20201112|AONE|630|0|30674|Q
20201112|AONE/U|503|403|7765|Q
20201112|AOR|33213|827|57204|Q
20201112|AOS|63282|0|130278|Q
20201112|AOSL|34838|0|55662|Q
20201112|AOUT|16088|563|37188|Q
20201112|AP|6471|900|17051|Q
20201112|APA|1972024|6012|4319497|Q
20201112|APAM|98493|0|170799|Q
20201112|APD|274132|8003|2112304|Q
20201112|APDN|37482|14|59483|Q
20201112|APEI|3083|0|9136|Q
20201112|APEN|4478|0|19427|Q
20201112|APG|217678|0|324588|Q
20201112|APH|129767|0|403124|Q
20201112|APHA|919430|5067|2371798|Q
20201112|API|187423|2200|307853|Q
20201112|APLE|284727|505|1272749|Q
20201112|APLS|34550|0|78835|Q
20201112|APLT|89465|436|460534|Q
20201112|APM|99691|1800|158484|Q
20201112|APO|138087|0|268842|Q
20201112|APOG|19240|0|29101|Q
20201112|APOP|5370|0|9923|Q
20201112|APOPW|500|0|6300|Q
20201112|APOpA|276|0|506|Q
20201112|APOpB|100|0|1092|Q
20201112|APPF|13176|0|17046|Q
20201112|APPN|178038|200|301167|Q
20201112|APPS|408428|11148|1241677|Q
20201112|APRE|6996|0|25255|Q
20201112|APRN|118246|200|212442|Q
20201112|APT|400004|3627|1088590|Q
20201112|APTO|267229|462|807493|Q
20201112|APTS|77620|328|174521|Q
20201112|APTV|214820|574|1009642|Q
20201112|APTVpA|79|0|16856|Q
20201112|APTX|87986|600|177083|Q
20201112|APVO|229403|3124|453639|Q
20201112|APWC|17830|100|49709|Q
20201112|APXT|4|0|3591|Q
20201112|APXTW|1000|0|1012|Q
20201112|APYX|4272|0|8184|Q
20201112|AQB|217293|1403|440538|Q
20201112|AQMS|33259|1959|135178|Q
20201112|AQN|44655|0|75561|Q
20201112|AQNA|1120|0|3409|Q
20201112|AQNB|1082|0|3834|Q
20201112|AQST|67370|3000|161565|Q
20201112|AQUA|94816|0|313134|Q
20201112|AR|1224232|21117|2031593|Q
20201112|ARA|25095|10|44549|Q
20201112|ARAV|34087|800|45322|Q
20201112|ARAY|361662|2738|599084|Q
20201112|ARB|120|0|120|Q
20201112|ARC|15896|800|43275|Q
20201112|ARCB|12480|0|20064|Q
20201112|ARCC|306875|700|554331|Q
20201112|ARCE|90526|0|146795|Q
20201112|ARCH|55525|0|87353|Q
20201112|ARCO|51099|492|196132|Q
20201112|ARCT|173159|2610|349893|Q
20201112|ARD|4208|0|9424|Q
20201112|ARDC|15491|0|35244|Q
20201112|ARDS|100|0|1000|Q
20201112|ARDX|32366|25|48508|Q
20201112|ARE|110118|0|188671|Q
20201112|AREC|188608|1352|316647|Q
20201112|ARES|43952|0|82825|Q
20201112|ARESpA|2132|0|2984|Q
20201112|ARGD|400|0|1878|Q
20201112|ARGO|8767|0|18218|Q
20201112|ARGOpA|3098|0|4743|Q
20201112|ARGT|3667|500|6607|Q
20201112|ARGX|21770|0|23216|Q
20201112|ARI|101504|50|198827|Q
20201112|ARKF|139246|0|281518|Q
20201112|ARKG|304838|710|456129|Q
20201112|ARKK|551009|2898|948289|Q
20201112|ARKQ|45995|650|92019|Q
20201112|ARKR|437|23|2772|Q
20201112|ARKW|320294|50219|431566|Q
20201112|ARL|3|0|1109|Q
20201112|ARLO|117811|100|250033|Q
20201112|ARLP|32637|700|121722|Q
20201112|ARMK|241474|88|669804|Q
20201112|ARMP|2169|120|3894|Q
20201112|ARMR|909|0|909|Q
20201112|ARNA|72638|0|217449|Q
20201112|ARNC|79302|600|165815|Q
20201112|AROC|1108780|1605|1206096|Q
20201112|AROW|1907|0|4266|Q
20201112|ARPO|95932|100|318358|Q
20201112|ARQT|5969|0|47999|Q
20201112|ARR|188186|255|258732|Q
20201112|ARRY|89852|100|284186|Q
20201112|ARRpC|1598|0|8567|Q
20201112|ARTL|199465|578|314495|Q
20201112|ARTLW|662|0|14640|Q
20201112|ARTNA|1982|0|5484|Q
20201112|ARTW|1100|0|4043|Q
20201112|ARVN|17818|300|41302|Q
20201112|ARW|36659|0|73171|Q
20201112|ARWR|103184|1879|196149|Q
20201112|ARYA|422|0|2502|Q
20201112|ASA|10316|575|16354|Q
20201112|ASAN|227183|7550|458408|Q
20201112|ASAQ|1000|0|1700|Q
20201112|ASAQ/U|1173|0|1173|Q
20201112|ASB|62134|0|215831|Q
20201112|ASBpC|200|0|200|Q
20201112|ASBpD|196|0|1241|Q
20201112|ASBpE|12|0|35|Q
20201112|ASBpF|3719|0|5366|Q
20201112|ASC|79496|5240|193746|Q
20201112|ASEA|3065|0|3391|Q
20201112|ASG|64411|0|101164|Q
20201112|ASGI|24700|0|36422|Q
20201112|ASGN|18389|0|52737|Q
20201112|ASH|34832|300|89749|Q
20201112|ASHR|383954|0|536204|Q
20201112|ASHS|1086|0|1089|Q
20201112|ASHX|36|0|36|Q
20201112|ASIX|10694|0|30763|Q
20201112|ASLN|10411|2783|71394|Q
20201112|ASM|98210|1200|173621|Q
20201112|ASMB|165928|3408|356521|Q
20201112|ASML|91977|0|170667|Q
20201112|ASND|31453|0|77914|Q
20201112|ASO|88931|0|117813|Q
20201112|ASPN|5474|0|22330|Q
20201112|ASPS|10165|0|19331|Q
20201112|ASPU|25303|1400|29896|Q
20201112|ASR|8284|0|12987|Q
20201112|ASRT|187688|0|435348|Q
20201112|ASRV|2790|0|4835|Q
20201112|ASRVP|105|0|105|Q
20201112|ASTC|85889|1153|185692|Q
20201112|ASTE|8507|0|17959|Q
20201112|ASUR|5016|0|10213|Q
20201112|ASX|51151|900|134213|Q
20201112|ASYS|2489|0|6560|Q
20201112|AT|19828|0|33882|Q
20201112|ATAX|66573|1000|123023|Q
20201112|ATCO|66237|0|137128|Q
20201112|ATCOpD|1704|0|1704|Q
20201112|ATCOpE|2913|627|5207|Q
20201112|ATCOpG|1590|200|4552|Q
20201112|ATCOpH|5042|0|14662|Q
20201112|ATCOpI|3806|0|7518|Q
20201112|ATCX|1402|0|1887|Q
20201112|ATCXW|2300|0|23895|Q
20201112|ATEC|36971|0|115253|Q
20201112|ATEN|23995|1495|49366|Q
20201112|ATEX|2455|0|10677|Q
20201112|ATGE|35571|0|44911|Q
20201112|ATH|101157|104|326356|Q
20201112|ATHA|35111|0|106594|Q
20201112|ATHE|6829|500|13705|Q
20201112|ATHM|23092|0|74878|Q
20201112|ATHX|192463|5900|348425|Q
20201112|ATHpA|2856|0|7242|Q
20201112|ATHpB|3010|0|4040|Q
20201112|ATHpC|3002|0|11105|Q
20201112|ATI|127907|536|233139|Q
20201112|ATIF|396598|685|1015668|Q
20201112|ATKR|53926|0|80634|Q
20201112|ATLC|1413|0|3877|Q
20201112|ATLO|4993|0|5497|Q
20201112|ATMP|50173|0|75486|Q
20201112|ATNF|4766|3|44910|Q
20201112|ATNI|2177|0|3107|Q
20201112|ATNM|74964|0|140421|Q
20201112|ATNX|50045|0|79217|Q
20201112|ATO|173442|480|330546|Q
20201112|ATOM|15580|0|26388|Q
20201112|ATOS|43882|300|66996|Q
20201112|ATR|11202|0|24298|Q
20201112|ATRA|214648|150|939658|Q
20201112|ATRC|33434|0|73172|Q
20201112|ATRI|909|0|1237|Q
20201112|ATRO|86188|1841|183268|Q
20201112|ATRS|121610|800|265469|Q
20201112|ATSG|36642|200|53827|Q
20201112|ATTO|14241|200|38635|Q
20201112|ATUS|351665|100|717474|Q
20201112|ATV|143|0|162|Q
20201112|ATVI|372980|704|928493|Q
20201112|ATXI|19377|0|28331|Q
20201112|AU|141014|0|384117|Q
20201112|AUB|16983|59|74668|Q
20201112|AUBAP|4744|0|20190|Q
20201112|AUBN|310|0|612|Q
20201112|AUDC|41394|252|98061|Q
20201112|AUMN|212021|5200|298565|Q
20201112|AUPH|143698|1388|514322|Q
20201112|AUSF|1983|0|4430|Q
20201112|AUTL|4024|0|38827|Q
20201112|AUTO|45084|1200|87118|Q
20201112|AUVI|20051|0|47015|Q
20201112|AUY|1499332|1285|3213298|Q
20201112|AVA|69417|0|82317|Q
20201112|AVAL|2391|0|8401|Q
20201112|AVAV|9493|0|22045|Q
20201112|AVB|114798|0|204395|Q
20201112|AVCO|23268|0|46907|Q
20201112|AVCT|1813|0|9276|Q
20201112|AVCTW|8300|0|13500|Q
20201112|AVD|5622|0|8557|Q
20201112|AVDE|11066|0|18666|Q
20201112|AVDL|29846|0|61693|Q
20201112|AVDV|10430|0|15821|Q
20201112|AVEM|1879|0|14003|Q
20201112|AVEO|15760|454|38470|Q
20201112|AVGO|118358|0|295675|Q
20201112|AVGOP|267|127|387|Q
20201112|AVGR|687318|0|1051844|Q
20201112|AVID|11695|2200|44377|Q
20201112|AVIR|33004|0|215405|Q
20201112|AVK|18591|0|45722|Q
20201112|AVLR|32972|0|77322|Q
20201112|AVNS|23800|0|136936|Q
20201112|AVNT|76206|50|138522|Q
20201112|AVNW|11766|0|27502|Q
20201112|AVO|10242|0|73273|Q
20201112|AVRO|42912|0|56391|Q
20201112|AVT|52767|0|110553|Q
20201112|AVTR|263337|756|1567790|Q
20201112|AVTRpA|670|0|1320|Q
20201112|AVUS|5060|0|6078|Q
20201112|AVUV|9903|0|12258|Q
20201112|AVXL|102431|1845|218593|Q
20201112|AVY|48530|49|102736|Q
20201112|AVYA|78294|0|163647|Q
20201112|AWAY|16878|0|45612|Q
20201112|AWF|53774|1450|131657|Q
20201112|AWH|82795|21|139215|Q
20201112|AWI|47382|200|100874|Q
20201112|AWK|64986|2|229056|Q
20201112|AWP|51532|0|123230|Q
20201112|AWR|11777|0|20801|Q
20201112|AWRE|729|0|3699|Q
20201112|AWTM|2|0|2|Q
20201112|AWX|94|0|8011|Q
20201112|AX|39467|0|68419|Q
20201112|AXAS|49778|0|110145|Q
20201112|AXDX|28653|0|129614|Q
20201112|AXGN|21317|0|28495|Q
20201112|AXGT|29471|200|107177|Q
20201112|AXL|176692|1668|356808|Q
20201112|AXLA|33311|590|65221|Q
20201112|AXNX|144689|0|187145|Q
20201112|AXO|400|0|800|Q
20201112|AXP|575647|1817|1217689|Q
20201112|AXR|2|0|1535|Q
20201112|AXS|29294|0|165759|Q
20201112|AXSM|33933|0|62297|Q
20201112|AXSpE|3347|0|18554|Q
20201112|AXTA|143637|0|395545|Q
20201112|AXTI|332124|1500|602917|Q
20201112|AXU|186164|600|388081|Q
20201112|AY|56607|0|171755|Q
20201112|AYI|54372|0|80930|Q
20201112|AYLA|572|0|969|Q
20201112|AYRO|2221112|46423|3878882|Q
20201112|AYTU|739600|12214|1111490|Q
20201112|AYX|209444|359|415305|Q
20201112|AZAO|2000|0|2058|Q
20201112|AZEK|78031|500|151154|Q
20201112|AZN|319435|16080|627344|Q
