HTTP/1.1 200 OK
Date: Thu, 10 Dec 2020 22:52:21 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Wed, 09 Dec 2020 22:24:20 GMT
ETag: "46b598-43f76-5b60f854f1370"
Accept-Ranges: bytes
Content-Length: 278390
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201209|A|178461|852|342108|Q
20201209|AA|673721|17451|1695863|Q
20201209|AAA|1|0|2|Q
20201209|AAAU|26004|0|44291|Q
20201209|AACG|7261|0|15149|Q
20201209|AACQ|84558|0|501181|Q
20201209|AACQU|8436|0|12727|Q
20201209|AACQW|40238|300|138387|Q
20201209|AADR|800|0|2649|Q
20201209|AAIC|113454|7101|203842|Q
20201209|AAICpC|100|0|150|Q
20201209|AAL|17394567|527566|50839446|Q
20201209|AAMC|126|0|372|Q
20201209|AAME|160|0|2479|Q
20201209|AAN|159980|0|804710|Q
20201209|AAOI|163710|800|259758|Q
20201209|AAON|23272|0|37952|Q
20201209|AAP|221426|92|344051|Q
20201209|AAPL|18820882|116894|33610808|Q
20201209|AAT|16120|0|51432|Q
20201209|AAU|293310|298|615592|Q
20201209|AAWW|43928|0|122890|Q
20201209|AAXJ|276076|0|406342|Q
20201209|AAXN|44409|378|126848|Q
20201209|AB|220888|9223|456657|Q
20201209|ABB|197499|104|445564|Q
20201209|ABBV|896133|4759|1730719|Q
20201209|ABC|101147|0|207824|Q
20201209|ABCB|82103|17|179382|Q
20201209|ABCM|10945|3|59820|Q
20201209|ABEO|347819|7600|870759|Q
20201209|ABEQ|1431|0|1431|Q
20201209|ABEV|2322661|1445|5312773|Q
20201209|ABG|12002|0|24113|Q
20201209|ABIO|46207|0|91088|Q
20201209|ABM|35147|0|92493|Q
20201209|ABMD|41534|25|55310|Q
20201209|ABR|150948|0|406602|Q
20201209|ABRpA|592|0|1672|Q
20201209|ABST|31459|0|52274|Q
20201209|ABT|373593|4865|1505070|Q
20201209|ABTX|5499|0|12941|Q
20201209|ABUS|437582|17749|1185520|Q
20201209|AC|656|0|2628|Q
20201209|ACA|12518|0|25377|Q
20201209|ACACU|2111|0|11496|Q
20201209|ACAD|72672|312|236005|Q
20201209|ACAM|16482|0|102918|Q
20201209|ACAMW|7159|1514|16765|Q
20201209|ACB|4305632|52379|9952939|Q
20201209|ACBI|2221|0|9804|Q
20201209|ACC|125772|1691|233755|Q
20201209|ACCD|71859|100|117834|Q
20201209|ACCO|56624|430|172097|Q
20201209|ACEL|47341|26100|82531|Q
20201209|ACER|3918|274|32333|Q
20201209|ACES|22065|0|80374|Q
20201209|ACET|3594|35|10471|Q
20201209|ACEV|4697|0|7041|Q
20201209|ACEVU|4850|0|6100|Q
20201209|ACEVW|3533|0|30800|Q
20201209|ACGL|493064|153|1125009|Q
20201209|ACGLO|3086|0|5325|Q
20201209|ACGLP|3592|0|8045|Q
20201209|ACH|3919|100|41416|Q
20201209|ACHC|127117|16|309147|Q
20201209|ACHV|66225|0|119212|Q
20201209|ACI|605800|0|1151184|Q
20201209|ACIA|42257|0|161847|Q
20201209|ACIC/U|1000|0|3248|Q
20201209|ACIO|11598|0|15106|Q
20201209|ACIU|36598|1978|48137|Q
20201209|ACIW|60271|400|121484|Q
20201209|ACLS|19371|200|36276|Q
20201209|ACM|157867|2008|545084|Q
20201209|ACMR|35154|0|65072|Q
20201209|ACN|171863|201|437090|Q
20201209|ACNB|541|0|1388|Q
20201209|ACND|7834|0|9223|Q
20201209|ACND/WS|5516|0|20216|Q
20201209|ACOR|498615|2100|779783|Q
20201209|ACP|6844|0|35197|Q
20201209|ACRE|23628|73|48543|Q
20201209|ACRS|54946|1525|95620|Q
20201209|ACRX|326604|1000|557940|Q
20201209|ACSI|1|0|1|Q
20201209|ACST|1899835|61285|4018083|Q
20201209|ACTC|4064|0|33143|Q
20201209|ACTCU|3257|0|3857|Q
20201209|ACTCW|48980|0|81469|Q
20201209|ACTG|23578|0|72181|Q
20201209|ACTV|578|0|1715|Q
20201209|ACU|6201|0|11225|Q
20201209|ACV|11424|0|19636|Q
20201209|ACVF|876|0|906|Q
20201209|ACWF|2340|0|13703|Q
20201209|ACWI|136138|6994|206774|Q
20201209|ACWV|71408|59209|137500|Q
20201209|ACWX|71975|2385|140805|Q
20201209|ACY|4457|0|10565|Q
20201209|ADAP|302711|1110|753742|Q
20201209|ADBE|235570|2270|684521|Q
20201209|ADC|28946|0|172471|Q
20201209|ADCT|108290|100|233384|Q
20201209|ADES|10881|600|25916|Q
20201209|ADI|410613|1989|757072|Q
20201209|ADIL|104593|2800|187914|Q
20201209|ADILW|1280|0|2122|Q
20201209|ADM|135620|270|408839|Q
20201209|ADMA|2628440|26393|5300472|Q
20201209|ADME|4125|0|6881|Q
20201209|ADMP|979102|16304|1381871|Q
20201209|ADMS|16897|0|59752|Q
20201209|ADNT|77036|0|371234|Q
20201209|ADOCU|2413|0|8710|Q
20201209|ADP|178527|350|289313|Q
20201209|ADPT|86769|1200|191636|Q
20201209|ADRE|7378|0|9114|Q
20201209|ADS|137341|4406|378074|Q
20201209|ADSK|156342|87|353377|Q
20201209|ADT|1401449|12601|2724584|Q
20201209|ADTN|43961|0|89867|Q
20201209|ADTX|158733|0|528539|Q
20201209|ADUS|20197|0|39039|Q
20201209|ADV|163926|0|462924|Q
20201209|ADVM|79633|8999|242826|Q
20201209|ADVWW|2140|0|505916|Q
20201209|ADX|31006|2307|56438|Q
20201209|ADXS|1424374|13916|2545312|Q
20201209|AE|359|0|1883|Q
20201209|AEB|5592|0|11621|Q
20201209|AEE|164841|700|240241|Q
20201209|AEF|16309|300|36916|Q
20201209|AEFC|2478|338|10334|Q
20201209|AEG|160707|3860|264198|Q
20201209|AEGN|4996|0|23984|Q
20201209|AEHL|81504|6635|135801|Q
20201209|AEHR|42892|600|173915|Q
20201209|AEIS|27269|0|80609|Q
20201209|AEL|53345|0|174324|Q
20201209|AELpA|2852|0|7716|Q
20201209|AELpB|1419|0|3714|Q
20201209|AEM|109952|0|233815|Q
20201209|AEMD|47600|0|99187|Q
20201209|AENZ|2672|0|14248|Q
20201209|AEO|964009|400|1763150|Q
20201209|AEP|87038|2010|793183|Q
20201209|AEPPL|2780|0|4094|Q
20201209|AEPPZ|3531|0|4979|Q
20201209|AER|163239|729|499006|Q
20201209|AERI|39104|1013|159580|Q
20201209|AES|400012|398|1257814|Q
20201209|AESE|1174330|71761|2022035|Q
20201209|AEY|109019|6311|185188|Q
20201209|AEYE|14791|0|52678|Q
20201209|AEZS|750906|3275|1222944|Q
20201209|AFB|6656|0|18675|Q
20201209|AFC|2793|0|6243|Q
20201209|AFG|21030|400|39155|Q
20201209|AFGB|1205|6|1780|Q
20201209|AFGC|649|0|2138|Q
20201209|AFGD|1718|0|2875|Q
20201209|AFGE|665|0|1263|Q
20201209|AFI|24212|400|74208|Q
20201209|AFIB|59572|0|66462|Q
20201209|AFIF|7801|0|14207|Q
20201209|AFIN|64154|7457|140886|Q
20201209|AFINP|2827|0|6872|Q
20201209|AFK|123710|0|129459|Q
20201209|AFL|140838|194|498402|Q
20201209|AFMD|185571|5860|708950|Q
20201209|AFT|6614|0|20421|Q
20201209|AFTY|52|0|1180|Q
20201209|AFYA|19871|0|68807|Q
20201209|AG|648299|9575|1252081|Q
20201209|AGBAW|43704|0|82163|Q
20201209|AGC|20267|0|21168|Q
20201209|AGCO|43214|0|173534|Q
20201209|AGCUU|16491|0|114035|Q
20201209|AGCWW|900|200|900|Q
20201209|AGD|4673|0|12091|Q
20201209|AGE|47084|200|84356|Q
20201209|AGEN|529796|31008|789284|Q
20201209|AGFS|5508|1303|7957|Q
20201209|AGG|1339649|7400|2696856|Q
20201209|AGGY|18701|100|80608|Q
20201209|AGI|255938|1412|654846|Q
20201209|AGIO|267955|6700|597977|Q
20201209|AGLE|15289|0|70231|Q
20201209|AGM|7605|114|21410|Q
20201209|AGM/A|24|0|24|Q
20201209|AGMpD|200|0|1646|Q
20201209|AGMpE|1572|0|2678|Q
20201209|AGNC|762503|2138|1379303|Q
20201209|AGNCM|1076|527|6811|Q
20201209|AGNCN|5095|0|9399|Q
20201209|AGNCO|7341|0|12287|Q
20201209|AGNCP|3085|0|6307|Q
20201209|AGO|56341|0|251817|Q
20201209|AGOpB|1037|0|1930|Q
20201209|AGOpE|2223|0|3025|Q
20201209|AGOpF|1042|0|3342|Q
20201209|AGQ|153493|2689|806633|Q
20201209|AGR|99738|600|177251|Q
20201209|AGRO|22788|0|105172|Q
20201209|AGRX|139752|1131|307552|Q
20201209|AGS|111852|0|192677|Q
20201209|AGT|4|0|205|Q
20201209|AGTC|44625|0|74831|Q
20201209|AGX|12815|1000|23699|Q
20201209|AGYS|11082|0|42017|Q
20201209|AGZ|3151|0|15962|Q
20201209|AGZD|8824|4777|16257|Q
20201209|AHAC|200|0|200|Q
20201209|AHACU|3901|0|128534|Q
20201209|AHC|1698|0|20605|Q
20201209|AHCO|29920|0|94443|Q
20201209|AHH|18468|0|56907|Q
20201209|AHHpA|147|0|1572|Q
20201209|AHLpC|310|0|5339|Q
20201209|AHLpD|3215|87|4141|Q
20201209|AHLpE|1576|0|4246|Q
20201209|AHPI|39418|0|104136|Q
20201209|AHT|3414444|159239|5882228|Q
20201209|AHTpD|2852|0|11270|Q
20201209|AHTpF|4052|0|6422|Q
20201209|AHTpG|1751|200|6931|Q
20201209|AHTpH|1237|0|6762|Q
20201209|AHTpI|3208|0|10786|Q
20201209|AI|3079316|33496|5873495|Q
20201209|AIA|46515|0|55262|Q
20201209|AIEQ|12834|0|17518|Q
20201209|AIF|14641|5|27045|Q
20201209|AIG|367167|1194|962758|Q
20201209|AIG/WS|51924|0|109042|Q
20201209|AIGpA|5997|0|11388|Q
20201209|AIH|500|100|13573|Q
20201209|AIHS|148739|15205|336661|Q
20201209|AIIQ|96|0|4255|Q
20201209|AIKI|3436244|196389|6202974|Q
20201209|AIM|378723|1866|694843|Q
20201209|AIMC|22377|0|98253|Q
20201209|AIN|11100|0|28073|Q
20201209|AINC|8913|0|13140|Q
20201209|AINV|88778|2964|150211|Q
20201209|AIO|36767|100|68028|Q
20201209|AIQ|12259|0|19629|Q
20201209|AIR|55864|105|100082|Q
20201209|AIRG|7699|0|46829|Q
20201209|AIRI|20090|4700|91108|Q
20201209|AIRR|1137|0|3407|Q
20201209|AIRT|357|0|1292|Q
20201209|AIRTW|1050|0|18130|Q
20201209|AIT|12085|32|26475|Q
20201209|AIV|69838|119|197347|Q
20201209|AIZ|23159|0|85314|Q
20201209|AIZN|3228|0|95509|Q
20201209|AIZP|231|0|361|Q
20201209|AJAX/U|21450|0|160829|Q
20201209|AJG|75482|2452|239840|Q
20201209|AJRD|350244|206|423140|Q
20201209|AJX|5465|100|10598|Q
20201209|AJXA|555|0|955|Q
20201209|AKAM|202078|374|385532|Q
20201209|AKBA|1658885|54836|3388380|Q
20201209|AKER|52547|1400|168423|Q
20201209|AKO/B|891|0|2504|Q
20201209|AKR|70471|0|137475|Q
20201209|AKRO|30287|0|51600|Q
20201209|AKTS|123260|8100|345760|Q
20201209|AKTX|71384|2300|121062|Q
20201209|AKUS|7831|200|22055|Q
20201209|AL|91936|173|305470|Q
20201209|ALAC|60720|36|122823|Q
20201209|ALACR|29726|0|893531|Q
20201209|ALACU|200|0|200|Q
20201209|ALACW|396080|41234|839763|Q
20201209|ALB|258435|0|433705|Q
20201209|ALBO|34756|25|70421|Q
20201209|ALC|59207|0|133639|Q
20201209|ALCO|3887|0|4963|Q
