HTTP/1.1 200 OK
Date: Tue, 17 Nov 2020 07:40:50 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Mon, 16 Nov 2020 22:22:39 GMT
ETag: "463da7-41b36-5b440d0e30da8"
Accept-Ranges: bytes
Content-Length: 269110
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201116|A|79289|14|457547|Q
20201116|AA|515886|666|1640245|Q
20201116|AAA|556|0|3274|Q
20201116|AAAU|56173|0|92246|Q
20201116|AACG|1|0|3682|Q
20201116|AACQ|2220|0|221942|Q
20201116|AACQU|1457|0|202200|Q
20201116|AACQW|660|0|7059|Q
20201116|AADR|369|0|3355|Q
20201116|AAIC|36787|9309|136966|Q
20201116|AAICpB|300|0|845|Q
20201116|AAICpC|300|0|1105|Q
20201116|AAL|11119422|154215|31455038|Q
20201116|AAMC|355|0|775|Q
20201116|AAME|512|100|5137|Q
20201116|AAN|37962|0|131364|Q
20201116|AAOI|139813|1365|221870|Q
20201116|AAON|18369|0|28832|Q
20201116|AAP|168674|0|292100|Q
20201116|AAPL|8343141|81218|25069416|Q
20201116|AAT|11901|0|185902|Q
20201116|AAU|137418|6100|227018|Q
20201116|AAWW|122222|0|181654|Q
20201116|AAXJ|436130|0|1002784|Q
20201116|AAXN|48415|0|157610|Q
20201116|AB|78196|0|131424|Q
20201116|ABB|119688|100|415735|Q
20201116|ABBV|756128|7977|2384898|Q
20201116|ABC|65581|0|232121|Q
20201116|ABCB|15339|0|52186|Q
20201116|ABCM|22361|0|26264|Q
20201116|ABEO|516918|5263|860381|Q
20201116|ABEQ|698|0|698|Q
20201116|ABEV|1015421|700|3333952|Q
20201116|ABG|24282|0|39130|Q
20201116|ABIO|35588|200|62216|Q
20201116|ABM|18730|0|100844|Q
20201116|ABMD|28505|0|38459|Q
20201116|ABR|182758|6663|595624|Q
20201116|ABRpA|2899|0|5378|Q
20201116|ABRpC|268|0|913|Q
20201116|ABST|11587|0|62861|Q
20201116|ABT|516234|1858|997129|Q
20201116|ABTX|2832|0|4743|Q
20201116|ABUS|998249|18271|2321512|Q
20201116|AC|645|0|862|Q
20201116|ACA|9216|0|37883|Q
20201116|ACACU|4108|0|5902|Q
20201116|ACAD|173293|200|568441|Q
20201116|ACAM|19037|0|21664|Q
20201116|ACAMU|700|0|1801|Q
20201116|ACB|5986219|90658|12166752|Q
20201116|ACBI|4808|0|10385|Q
20201116|ACC|43351|0|225353|Q
20201116|ACCD|21163|0|32876|Q
20201116|ACCO|150980|6190|284937|Q
20201116|ACEL|52908|0|98910|Q
20201116|ACER|21336|0|32972|Q
20201116|ACES|22766|0|36927|Q
20201116|ACET|4179|0|9644|Q
20201116|ACEV|100|0|2700|Q
20201116|ACEVU|130|0|630|Q
20201116|ACGL|157330|1119|288711|Q
20201116|ACGLO|6583|0|10437|Q
20201116|ACGLP|9191|0|17901|Q
20201116|ACH|5997|594|22599|Q
20201116|ACHC|42643|300|138117|Q
20201116|ACHV|385239|7716|557081|Q
20201116|ACI|555276|6938|923041|Q
20201116|ACIA|30393|0|141394|Q
20201116|ACIC/U|1000|0|1302000|Q
20201116|ACIO|2742|0|5133|Q
20201116|ACIU|16899|0|30553|Q
20201116|ACIW|24813|0|128420|Q
20201116|ACLS|46023|12|76107|Q
20201116|ACM|222534|4412|612983|Q
20201116|ACMR|19693|0|35687|Q
20201116|ACN|172357|3609|345972|Q
20201116|ACNB|2184|0|3174|Q
20201116|ACND|1|0|79496|Q
20201116|ACND/WS|1540|0|20540|Q
20201116|ACOR|397847|5400|658192|Q
20201116|ACP|25573|217|43829|Q
20201116|ACRE|84977|0|124364|Q
20201116|ACRS|109219|3809|300945|Q
20201116|ACRX|115380|3467|251471|Q
20201116|ACST|972230|12409|1791599|Q
20201116|ACTCU|2991|0|4400|Q
20201116|ACTG|42663|0|105922|Q
20201116|ACTV|3243|0|4875|Q
20201116|ACU|20037|0|36314|Q
20201116|ACV|7311|0|17584|Q
20201116|ACVF|1938|0|3518|Q
20201116|ACWF|476|0|2793|Q
20201116|ACWI|720492|0|901688|Q
20201116|ACWV|16895|0|85829|Q
20201116|ACWX|291054|0|507457|Q
20201116|ACY|7906|1810|10637|Q
20201116|ADAP|62908|386|252077|Q
20201116|ADBE|161152|301|578150|Q
20201116|ADC|271469|0|290381|Q
20201116|ADCT|221906|0|236942|Q
20201116|ADES|4796|0|16149|Q
20201116|ADI|394838|646|925831|Q
20201116|ADIL|150616|4126|353331|Q
20201116|ADM|115081|202|584169|Q
20201116|ADMA|345775|133|741597|Q
20201116|ADME|6271|0|8848|Q
20201116|ADMP|4469473|268010|8344595|Q
20201116|ADMS|32005|0|55174|Q
20201116|ADNT|53511|0|161027|Q
20201116|ADOCU|4300|0|27864|Q
20201116|ADP|320880|153|571870|Q
20201116|ADPT|102284|0|235825|Q
20201116|ADRE|3416|0|8921|Q
20201116|ADS|210074|100|308090|Q
20201116|ADSK|65417|200|300004|Q
20201116|ADT|217562|10613|735754|Q
20201116|ADTN|22340|0|75131|Q
20201116|ADTX|17860|0|62467|Q
20201116|ADUS|7331|0|23518|Q
20201116|ADV|93276|0|199206|Q
20201116|ADVM|348764|108|670509|Q
20201116|ADVWW|300|0|1310|Q
20201116|ADX|82221|125|117628|Q
20201116|ADXS|202024|22907|529997|Q
20201116|AE|1278|0|3088|Q
20201116|AEB|1163|0|4665|Q
20201116|AEE|184781|1676|656180|Q
20201116|AEF|29646|0|45855|Q
20201116|AEFC|10877|0|29123|Q
20201116|AEG|231170|0|489448|Q
20201116|AEGN|5688|3|14539|Q
20201116|AEHL|105605|117|168665|Q
20201116|AEHR|2837|0|20175|Q
20201116|AEIS|16065|0|32799|Q
20201116|AEL|44360|0|176224|Q
20201116|AELpA|5334|1391|25701|Q
20201116|AELpB|3543|0|8762|Q
20201116|AEM|126794|405|325023|Q
20201116|AEMD|34102|200|75443|Q
20201116|AENZ|6436|140|6737|Q
20201116|AEO|541446|385|1547584|Q
20201116|AEP|330562|1918|1111674|Q
20201116|AEPPL|4908|0|6077|Q
20201116|AEPPZ|154085|0|229085|Q
20201116|AER|378397|300|808750|Q
20201116|AERI|32064|0|350375|Q
20201116|AES|170687|709|1236172|Q
20201116|AESE|130301|5090|253492|Q
20201116|AESR|2|0|4611|Q
20201116|AEY|24701|442|38922|Q
20201116|AEYE|21353|3692|73370|Q
20201116|AEZS|141889|200|320655|Q
20201116|AFB|6089|1190|9471|Q
20201116|AFC|2929|0|4357|Q
20201116|AFG|33711|600|120779|Q
20201116|AFGB|5903|8|6533|Q
20201116|AFGC|1087|0|2676|Q
20201116|AFGD|6522|1215|24503|Q
20201116|AFGE|625|0|1625|Q
20201116|AFI|59847|1971|101390|Q
20201116|AFIB|11133|0|20262|Q
20201116|AFIF|2583|0|6286|Q
20201116|AFIN|37070|200|169217|Q
20201116|AFINP|3771|0|7474|Q
20201116|AFK|241|0|3434|Q
20201116|AFL|522325|2820|935627|Q
20201116|AFMD|120096|0|365242|Q
20201116|AFT|10620|2800|20945|Q
20201116|AFTY|148|0|217|Q
20201116|AFYA|13671|0|22533|Q
20201116|AG|642266|40606|1006169|Q
20201116|AGBA|32|0|6033|Q
20201116|AGCO|92252|255|288218|Q
20201116|AGCUU|169|0|4994|Q
20201116|AGD|3324|0|9121|Q
20201116|AGE|7098|0|25387|Q
20201116|AGEN|357930|19792|660864|Q
20201116|AGFS|6465|0|8681|Q
20201116|AGG|1238105|223|3823709|Q
20201116|AGGP|958|0|5151|Q
20201116|AGGY|251908|0|301225|Q
20201116|AGI|193331|3900|548810|Q
20201116|AGIO|60142|0|184786|Q
20201116|AGLE|7567|0|15470|Q
20201116|AGM|4699|29|15297|Q
20201116|AGMpD|726|0|920|Q
20201116|AGMpE|2400|0|7070|Q
20201116|AGMpF|2335|0|4835|Q
20201116|AGNC|964521|207|2601242|Q
20201116|AGNCM|3323|400|17312|Q
20201116|AGNCN|3269|0|7920|Q
20201116|AGNCO|12896|0|68571|Q
20201116|AGNCP|17137|0|35148|Q
20201116|AGO|61328|2500|126758|Q
20201116|AGOpE|935|0|1913|Q
20201116|AGOpF|300|0|1829|Q
20201116|AGQ|63644|1010|251338|Q
20201116|AGR|140185|0|198134|Q
20201116|AGRO|12076|0|137697|Q
20201116|AGRX|71950|400|197584|Q
20201116|AGS|93204|9065|172058|Q
20201116|AGT|1|0|342|Q
20201116|AGTC|31048|0|55284|Q
20201116|AGX|6007|0|13299|Q
20201116|AGYS|16900|7|25105|Q
20201116|AGZ|1765|0|54702|Q
20201116|AGZD|148|0|4812|Q
20201116|AHACU|200|0|220|Q
20201116|AHC|488|0|5993|Q
20201116|AHCO|98564|900|189766|Q
20201116|AHH|9490|500|80595|Q
20201116|AHHpA|6181|0|7650|Q
20201116|AHLpC|1694|0|40962|Q
20201116|AHLpD|10046|0|13645|Q
20201116|AHLpE|5594|0|12408|Q
20201116|AHPI|230969|19246|348669|Q
20201116|AHT|4040092|40606|6321659|Q
20201116|AHTpD|14625|1269|23684|Q
20201116|AHTpF|3166|186|6369|Q
20201116|AHTpG|53723|0|180663|Q
20201116|AHTpH|34743|0|40117|Q
20201116|AHTpI|38205|98|51175|Q
20201116|AIA|91456|0|95318|Q
20201116|AIC|700|0|1600|Q
20201116|AIEQ|3179|0|7084|Q
20201116|AIF|9482|24|15945|Q
20201116|AIG|721463|0|1671702|Q
20201116|AIG/WS|36641|300|71026|Q
20201116|AIGpA|7028|1072|36764|Q
20201116|AIH|300|0|5805|Q
20201116|AIHS|607088|19680|1009541|Q
20201116|AIIQ|130|0|188|Q
20201116|AIKI|53203|0|183404|Q
20201116|AIM|127275|1610|300309|Q
20201116|AIMC|45815|0|214505|Q
20201116|AIN|37843|600|81701|Q
20201116|AINC|1188|0|3298|Q
20201116|AINV|91628|3300|246950|Q
20201116|AIO|23148|1551|44479|Q
20201116|AIQ|18489|0|27270|Q
20201116|AIR|27394|952|46367|Q
20201116|AIRG|1219|0|3392|Q
20201116|AIRI|5540|2900|32450|Q
20201116|AIRR|68420|0|70675|Q
20201116|AIRT|626|0|2831|Q
20201116|AIRTP|19|0|19|Q
20201116|AIRTW|12266|1|21324|Q
20201116|AIT|65034|0|106491|Q
20201116|AIV|100787|0|556903|Q
20201116|AIW|200|0|510|Q
20201116|AIZ|52713|0|133039|Q
20201116|AIZP|265|0|267|Q
20201116|AJAX/U|35|0|2165|Q
20201116|AJG|88853|0|179449|Q
20201116|AJRD|75512|0|135762|Q
20201116|AJX|3167|207|10698|Q
20201116|AJXA|55|0|1595|Q
20201116|AKAM|191524|35|307370|Q
20201116|AKBA|565729|15000|1146897|Q
20201116|AKER|53164|1080|208984|Q
20201116|AKO/A|626|0|636|Q
20201116|AKO/B|31|0|44|Q
20201116|AKR|21477|0|82175|Q
20201116|AKRO|17960|0|54802|Q
20201116|AKTS|82881|8168|118232|Q
20201116|AKTX|4441|0|54127|Q
20201116|AKU|2521|0|7407|Q
20201116|AKUS|6319|0|11661|Q
20201116|AL|120299|1253|352250|Q
20201116|ALAC|4|0|606|Q
20201116|ALACR|200|0|200|Q
20201116|ALACW|94250|0|114781|Q
20201116|ALB|203020|0|340016|Q
20201116|ALBO|17888|0|39540|Q
20201116|ALC|180540|0|246025|Q
20201116|ALCO|669|0|1544|Q
20201116|ALDX|27041|0|66011|Q
20201116|ALE|31156|0|89774|Q
20201116|ALEC|106251|1360|175836|Q
20201116|ALEX|27282|0|128442|Q
20201116|ALFA|7|0|500|Q
20201116|ALG|8177|0|33474|Q
20201116|ALGM|422895|0|491467|Q
20201116|ALGN|39215|733|137019|Q
20201116|ALGS|10030|0|56626|Q
20201116|ALGT|24141|0|46284|Q
20201116|ALIM|9635|0|14567|Q
20201116|ALINpA|2548|0|4906|Q
20201116|ALINpB|13629|0|15945|Q
20201116|ALINpE|1219|0|4835|Q
20201116|ALJJ|9858|0|20618|Q
20201116|ALK|630398|7634|1174509|Q
20201116|ALKS|104277|0|449655|Q
20201116|ALL|247038|11050|448930|Q
20201116|ALLE|71858|0|147420|Q
20201116|ALLK|35903|540|49101|Q
20201116|ALLO|269871|100|475351|Q
20201116|ALLT|5087|0|18781|Q
20201116|ALLY|463919|6831|1360759|Q
20201116|ALLYpA|47862|900|215644|Q
20201116|ALLpB|2507|0|6350|Q
20201116|ALLpG|18830|0|67281|Q
20201116|ALLpH|27260|965|134063|Q
20201116|ALLpI|9334|800|22378|Q
20201116|ALNA|123218|4324|265079|Q
20201116|ALNY|40953|0|141468|Q
20201116|ALOT|1090|0|2272|Q
20201116|ALPN|2086|0|6901|Q
20201116|ALPpQ|2704|0|5469|Q
20201116|ALRM|36441|0|82061|Q
20201116|ALRN|140378|1000|230705|Q
20201116|ALRS|1715|0|4582|Q
20201116|ALSK|187542|0|302733|Q
20201116|ALSN|51068|0|256634|Q
20201116|ALT|139352|8983|533707|Q
20201116|ALTA|2022|0|8241|Q
20201116|ALTG|6240|500|19575|Q
20201116|ALTL|31|0|687|Q
20201116|ALTM|13865|0|22181|Q
20201116|ALTR|21080|0|29416|Q
20201116|ALTY|2053|0|6291|Q
20201116|ALUS|4|0|418|Q
20201116|ALV|29742|0|46614|Q
20201116|ALVR|9720|0|39414|Q
20201116|ALX|2847|0|5393|Q
20201116|ALXN|97135|100|248142|Q
20201116|ALXO|3996|0|10050|Q
20201116|ALYA|3200|0|3690|Q
20201116|ALpA|9995|0|43992|Q
20201116|AM|524958|574|1074114|Q
20201116|AMAL|889|0|7305|Q
20201116|AMAT|712582|3795|1781150|Q
20201116|AMBA|22301|0|71946|Q
20201116|AMBC|14770|0|62994|Q
20201116|AMBC/WS|400|0|2703|Q
20201116|AMBO|8946|0|87292|Q
20201116|AMC|7743092|192263|15972181|Q
20201116|AMCI|3218|0|5458|Q
20201116|AMCIW|29634|0|63676|Q
20201116|AMCR|745359|0|1162035|Q
20201116|AMCX|169215|0|280781|Q
20201116|AMD|3805621|19628|12473003|Q
20201116|AME|126897|500|297274|Q
20201116|AMED|22219|0|51041|Q
20201116|AMEH|25281|0|70062|Q
20201116|AMG|28841|0|64974|Q
20201116|AMGN|194041|0|363674|Q
20201116|AMH|106122|2896|792289|Q
20201116|AMHpD|1387|0|7137|Q
20201116|AMHpE|1385|0|11259|Q
20201116|AMHpF|377|0|3972|Q
20201116|AMHpH|634|0|1063|Q
20201116|AMJ|114184|400|263384|Q
20201116|AMK|11069|0|49518|Q
20201116|AMKR|94844|0|307521|Q
20201116|AMLP|387810|21831|1031384|Q
20201116|AMN|47791|0|77843|Q
20201116|AMNB|3663|0|15219|Q
20201116|AMOM|46|0|296|Q
20201116|AMOT|1768|0|3075|Q
20201116|AMP|69941|1061|157709|Q
20201116|AMPE|109533|1124|291264|Q
20201116|AMPH|18648|0|56462|Q
20201116|AMPY|215949|0|393402|Q
20201116|AMRB|837|0|7065|Q
20201116|AMRC|33977|354|95566|Q
20201116|AMRH|74962|49|248957|Q
20201116|AMRHW|50|50|3434|Q
20201116|AMRK|9049|0|23148|Q
20201116|AMRN|1961365|2060|6008381|Q
20201116|AMRS|250057|372|447719|Q
20201116|AMRX|259397|190|392068|Q
20201116|AMS|4432|0|7923|Q
20201116|AMSC|31800|0|63084|Q
20201116|AMSF|3477|0|11033|Q
20201116|AMST|31919|0|46975|Q
20201116|AMSWA|6874|2700|11281|Q
20201116|AMT|161295|310|381166|Q
20201116|AMTB|3137|0|8840|Q
20201116|AMTBB|5285|0|7905|Q
20201116|AMTI|8888|0|10542|Q
20201116|AMTR|800|0|800|Q
20201116|AMTX|121122|1549|284554|Q
20201116|AMU|101|0|220|Q
20201116|AMUB|25|0|279|Q
20201116|AMWD|11019|0|37072|Q
20201116|AMWL|2571173|93506|3871150|Q
20201116|AMX|82554|5008|204247|Q
20201116|AMYT|265|0|10470|Q
20201116|AMZA|54939|3|77424|Q
20201116|AMZN|442720|2708|894879|Q
20201116|AN|38529|0|173992|Q
20201116|ANAB|52166|8674|83177|Q
20201116|ANAT|2394|0|4792|Q
20201116|ANCN|2098|0|8561|Q
20201116|ANDA|30|0|1030|Q
20201116|ANDAR|1682|0|2220|Q
20201116|ANDAW|5850|0|6538|Q
20201116|ANDE|25647|100|51465|Q
20201116|ANET|163987|300|199842|Q
20201116|ANEW|1216|0|1497|Q
20201116|ANF|112163|1601|357101|Q
20201116|ANGI|184145|100|891743|Q
20201116|ANGL|194084|0|345027|Q
20201116|ANGO|15052|0|42501|Q
20201116|ANH|295700|10800|803637|Q
20201116|ANHpA|1250|0|2702|Q
20201116|ANHpB|100|0|2400|Q
20201116|ANHpC|665|0|4119|Q
20201116|ANIK|11956|500|23717|Q
20201116|ANIP|3551|0|9116|Q
20201116|ANIX|5782|0|23495|Q
20201116|ANNX|5285|0|7800|Q
20201116|ANPC|400|0|5087|Q
20201116|ANSS|31210|524|98465|Q
20201116|ANTE|21528|0|38408|Q
20201116|ANTM|152310|13086|243987|Q
20201116|ANVS|3955|0|16443|Q
20201116|ANY|43498|440|95117|Q
20201116|AOA|14739|1|36610|Q
20201116|AOD|66671|0|128637|Q
20201116|AOK|97584|2767|122680|Q
20201116|AOM|58608|800|114890|Q
20201116|AON|249508|100|473232|Q
20201116|AONE|110|0|113|Q
20201116|AONE/WS|200|200|200|Q
20201116|AOR|24486|0|51972|Q
20201116|AOS|109615|0|232597|Q
20201116|AOSL|22876|0|29842|Q
20201116|AOUT|24232|208|42365|Q
20201116|AP|17247|200|31790|Q
20201116|AP/WS|400|0|2600|Q
20201116|APA|2145658|4114|3663322|Q
20201116|APAM|47880|2000|101221|Q
20201116|APD|123251|2300|666899|Q
20201116|APDN|87303|1385|126859|Q
20201116|APEI|10901|0|16216|Q
20201116|APEN|3570|0|8996|Q
20201116|APG|51549|100|210778|Q
20201116|APH|168213|3700|399066|Q
20201116|APHA|1078777|4053|2064351|Q
20201116|API|149407|0|301051|Q
20201116|APLE|272285|2175|517803|Q
20201116|APLS|105587|0|144064|Q
20201116|APLT|16077|0|28698|Q
20201116|APM|23047|737|50555|Q
20201116|APO|266626|43|426286|Q
20201116|APOG|25377|100|42602|Q
20201116|APOP|11418|0|33764|Q
20201116|APOPW|100|0|1125|Q
20201116|APOpA|4958|0|7549|Q
20201116|APOpB|2661|0|4018|Q
20201116|APPF|13788|0|25070|Q
20201116|APPN|214145|300|351782|Q
20201116|APPS|335715|125|844849|Q
20201116|APRE|11316|0|45137|Q
20201116|APRN|129791|4154|222568|Q
20201116|APSG/U|10005|0|626354|Q
20201116|APT|412270|25943|884966|Q
20201116|APTO|86944|2500|317523|Q
20201116|APTS|123917|15948|250468|Q
20201116|APTV|170881|0|481476|Q
20201116|APTVpA|1669|0|25904|Q
20201116|APTX|150705|731|206071|Q
20201116|APVO|69789|774|163668|Q
20201116|APWC|994035|20471|1836140|Q
20201116|APXT|2227|0|4042|Q
20201116|APXTW|604|0|634|Q
20201116|APYX|2099|0|7891|Q
20201116|AQB|130449|33629|249265|Q
20201116|AQMS|133704|1223|258908|Q
20201116|AQN|115351|2085|216152|Q
20201116|AQNA|827|0|1908|Q
20201116|AQNB|1550|0|4876|Q
20201116|AQST|24886|648|123794|Q
20201116|AQUA|91494|100|330787|Q
20201116|AR|1394844|4725|2980121|Q
20201116|ARA|53438|0|58513|Q
20201116|ARAV|53800|0|97448|Q
20201116|ARAY|145936|4802|284290|Q
20201116|ARC|43825|300|67664|Q
20201116|ARCB|17685|0|40801|Q
20201116|ARCC|603979|18779|991911|Q
20201116|ARCE|18869|0|50679|Q
20201116|ARCH|35320|0|99533|Q
20201116|ARCM|8|0|8|Q
20201116|ARCO|64406|0|373830|Q
20201116|ARCT|170263|410|256102|Q
20201116|ARD|13474|0|35748|Q
20201116|ARDC|18262|0|36723|Q
20201116|ARDS|1026|0|10571|Q
20201116|ARDX|26971|0|64074|Q
20201116|ARE|101765|1002|139596|Q
20201116|AREC|730545|54056|1252925|Q
20201116|ARES|31454|0|75201|Q
20201116|ARESpA|1167|0|9685|Q
20201116|ARGD|24|0|766|Q
20201116|ARGO|18597|0|46831|Q
20201116|ARGOpA|4343|0|20179|Q
20201116|ARGT|2101|0|32399|Q
20201116|ARGX|8526|0|15126|Q
20201116|ARI|212798|495|424237|Q
20201116|ARKF|279739|0|425982|Q
20201116|ARKG|308653|3044|500933|Q
20201116|ARKK|528597|11107|875822|Q
20201116|ARKQ|137489|254|187042|Q
20201116|ARKR|8127|0|21279|Q
20201116|ARKW|132083|150|408530|Q
20201116|ARL|157|0|1460|Q
20201116|ARLO|50675|10|108530|Q
20201116|ARLP|85487|9251|416408|Q
20201116|ARMK|248894|18|678666|Q
20201116|ARMP|13221|0|59194|Q
20201116|ARMR|723|0|737|Q
20201116|ARNA|63732|830|333262|Q
20201116|ARNC|219419|333|330183|Q
20201116|AROC|150850|50|251535|Q
20201116|AROW|3220|218|4957|Q
20201116|ARPO|767204|23273|1618629|Q
20201116|ARQT|7761|0|33640|Q
20201116|ARR|133370|229|356613|Q
20201116|ARRY|199950|404|365372|Q
20201116|ARRpC|4489|0|15099|Q
20201116|ARTL|352242|4230|693536|Q
20201116|ARTLW|650|0|1650|Q
20201116|ARTNA|2308|0|3930|Q
20201116|ARTW|4318|0|15146|Q
20201116|ARVN|59766|137|139104|Q
20201116|ARW|42113|0|148749|Q
20201116|ARWR|95596|200|166873|Q
20201116|ASA|16041|0|40582|Q
20201116|ASAN|106610|707|197492|Q
20201116|ASAQ/WS|1846|0|1846|Q
20201116|ASB|60488|0|215556|Q
20201116|ASBpD|601|0|1230|Q
20201116|ASBpE|530|0|890|Q
20201116|ASBpF|1672|0|4696|Q
20201116|ASC|21958|159|87399|Q
20201116|ASEA|16358|0|17959|Q
20201116|ASG|46426|0|93139|Q
20201116|ASGI|17377|0|26495|Q
20201116|ASGN|42573|0|83061|Q
20201116|ASH|130867|0|192926|Q
20201116|ASHR|1654186|0|1813835|Q
20201116|ASHS|262|0|545|Q
20201116|ASIX|7515|0|28861|Q
20201116|ASLN|22635|0|181062|Q
20201116|ASM|111622|2141|217173|Q
20201116|ASMB|194931|2403|365525|Q
20201116|ASML|92613|811|122767|Q
20201116|ASND|18332|0|49743|Q
20201116|ASO|176002|0|268054|Q
20201116|ASPL|200000|0|200600|Q
20201116|ASPL/WS|100|0|100|Q
20201116|ASPN|14884|0|32712|Q
20201116|ASPS|5406|0|8300|Q
20201116|ASPU|3252|0|6929|Q
20201116|ASR|4086|0|13561|Q
20201116|ASRT|317469|8698|589967|Q
20201116|ASRV|1159|0|2827|Q
20201116|ASTC|97633|7815|314889|Q
20201116|ASTE|5136|0|8093|Q
20201116|ASUR|3477|0|10234|Q
20201116|ASX|121288|11800|519777|Q
20201116|ASYS|4123|0|7303|Q
20201116|AT|21409|150|71115|Q
20201116|ATAX|47660|0|157774|Q
20201116|ATCO|112850|9640|180463|Q
20201116|ATCOpD|3859|0|4059|Q
20201116|ATCOpE|3599|0|12499|Q
20201116|ATCOpG|1843|0|4994|Q
20201116|ATCOpH|3492|0|4496|Q
20201116|ATCOpI|3580|0|6984|Q
20201116|ATCX|3233|0|3234|Q
20201116|ATEC|46104|655|94836|Q
20201116|ATEN|47159|2297|143706|Q
20201116|ATEX|12833|0|17362|Q
20201116|ATGE|36228|0|102161|Q
20201116|ATH|44195|0|342710|Q
20201116|ATHA|27989|0|76933|Q
20201116|ATHE|27577790|448295|41572746|Q
20201116|ATHM|24556|0|61134|Q
20201116|ATHX|880789|19786|1125207|Q
20201116|ATHpA|11292|1180|249916|Q
20201116|ATHpB|16140|0|22369|Q
20201116|ATHpC|9578|0|48793|Q
20201116|ATI|214013|3100|447289|Q
20201116|ATIF|128215|0|457219|Q
20201116|ATKR|55141|418|173146|Q
20201116|ATLC|13864|6700|16345|Q
20201116|ATLO|3800|0|7164|Q
20201116|ATMP|46146|0|71941|Q
20201116|ATNF|34335|7884|60835|Q
20201116|ATNFW|18749|1549|37949|Q
20201116|ATNI|2546|0|7179|Q
20201116|ATNM|121453|1359|176056|Q
20201116|ATNX|99301|503|193432|Q
20201116|ATO|116916|2185|377117|Q
20201116|ATOM|25545|549|53920|Q
20201116|ATOS|40526|0|100673|Q
20201116|ATR|9930|100|46308|Q
20201116|ATRA|98862|1610|226866|Q
20201116|ATRC|59532|0|164884|Q
20201116|ATRI|479|0|823|Q
20201116|ATRO|52148|0|100275|Q
20201116|ATRS|109607|8100|268112|Q
20201116|ATSG|133502|3707|214158|Q
20201116|ATTO|17165|0|35956|Q
20201116|ATUS|433817|0|697341|Q
20201116|ATV|2013|0|3679|Q
20201116|ATVI|532551|5310|2214507|Q
20201116|ATXI|23135|0|35821|Q
20201116|AU|219520|1|461526|Q
20201116|AUB|25844|270|52378|Q
20201116|AUBAP|5464|0|23103|Q
20201116|AUBN|104|0|197|Q
20201116|AUDC|55395|0|134053|Q
20201116|AUMN|128155|2262|237503|Q
20201116|AUPH|93654|593|253387|Q
20201116|AUSF|900|0|2424|Q
20201116|AUTL|7571|0|14713|Q
20201116|AUTO|18034|1119|52343|Q
20201116|AUVI|55617|300|149802|Q
20201116|AUY|1099328|13894|4107862|Q
20201116|AVA|26906|0|69704|Q
20201116|AVAL|22637|3000|60081|Q
20201116|AVAV|15423|0|33739|Q
20201116|AVB|81296|120|259085|Q
20201116|AVCO|18695|1392|74528|Q
20201116|AVCT|43881|0|67711|Q
20201116|AVCTW|11350|0|17120|Q
20201116|AVD|7132|700|17076|Q
20201116|AVDE|2403|0|10521|Q
20201116|AVDL|175402|2000|383295|Q
20201116|AVDV|14656|0|17882|Q
20201116|AVEM|8957|0|13039|Q
20201116|AVEO|42940|300|86951|Q
20201116|AVGO|109136|363|276103|Q
20201116|AVGOP|36|0|58|Q
20201116|AVGR|371206|18500|580580|Q
20201116|AVID|21963|2368|114573|Q
20201116|AVIG|30|0|265|Q
20201116|AVIR|50337|0|387686|Q
20201116|AVK|33233|913|67804|Q
20201116|AVLR|41952|50|120573|Q
20201116|AVNS|20204|0|62843|Q
20201116|AVNT|35004|300|89157|Q
20201116|AVNW|16458|0|30026|Q
20201116|AVO|28728|0|154524|Q
20201116|AVRO|21585|0|36915|Q
20201116|AVT|64259|0|147116|Q
20201116|AVTR|677102|900|1714616|Q
20201116|AVTRpA|500|0|87346|Q
20201116|AVUS|4441|0|5364|Q
20201116|AVUV|19293|0|20990|Q
20201116|AVXL|157387|4963|453121|Q
20201116|AVY|25185|200|166344|Q
20201116|AVYA|31789|700|149529|Q
20201116|AWAY|65839|0|103701|Q
20201116|AWF|77306|3165|173765|Q
20201116|AWH|123462|0|178377|Q
20201116|AWI|49955|0|85526|Q
20201116|AWK|92806|0|240077|Q
20201116|AWP|90191|1430|136393|Q
20201116|AWR|15292|0|45951|Q
20201116|AWRE|1009|0|4597|Q
20201116|AWTM|1101|0|1427|Q
20201116|AWX|17335|50|29458|Q
20201116|AX|23000|0|40180|Q
20201116|AXAS|110527|2969|267351|Q
20201116|AXDX|8879|0|63311|Q
20201116|AXGN|18207|100|36328|Q
20201116|AXL|134369|572|360810|Q
20201116|AXLA|16746|0|40147|Q
20201116|AXNX|85762|200|153087|Q
20201116|AXP|744879|629|1536855|Q
20201116|AXS|63888|350|150846|Q
20201116|AXSM|44636|116|70229|Q
20201116|AXSpE|9366|200|15755|Q
20201116|AXTA|48152|300|518922|Q
20201116|AXTI|132578|1680|299941|Q
20201116|AXU|131780|1100|216544|Q
20201116|AY|56379|900|101189|Q
20201116|AYI|70043|114|123834|Q
20201116|AYLA|484|0|982|Q
20201116|AYRO|1174869|42311|2094060|Q
20201116|AYTU|527272|8160|845880|Q
20201116|AYX|223220|398|599135|Q
20201116|AZAO|1|0|1|Q
20201116|AZEK|54346|0|108818|Q
20201116|AZN|417654|2214|1405691|Q
