HTTP/1.1 200 OK
Date: Tue, 05 Jan 2021 20:08:38 GMT
Server: Apache/2.2.15 (Red Hat)
Last-Modified: Thu, 17 Dec 2020 22:23:18 GMT
ETag: "46d6e2-43dd4-5b6b070552990"
Accept-Ranges: bytes
Content-Length: 277972
Connection: close
Content-Type: text/plain; charset=UTF-8

Date|Symbol|ShortVolume|ShortExemptVolume|TotalVolume|Market
20201217|A|101292|1|380197|Q
20201217|AA|399449|12632|1982330|Q
20201217|AAAU|40152|0|173839|Q
20201217|AACG|129|0|3500|Q
20201217|AACQ|64815|0|268184|Q
20201217|AACQU|4125|0|164671|Q
20201217|AACQW|54095|200|66793|Q
20201217|AADR|47604|0|47866|Q
20201217|AAIC|34328|5664|62664|Q
20201217|AAICpB|88|0|89|Q
20201217|AAL|3788081|46082|16919392|Q
20201217|AAMC|4|0|7|Q
20201217|AAME|72|0|204|Q
20201217|AAN|81321|0|214891|Q
20201217|AAOI|87655|300|182517|Q
20201217|AAON|26696|0|36967|Q
20201217|AAP|118165|0|289801|Q
20201217|AAPL|14126023|134278|26239718|Q
20201217|AAT|17556|0|71840|Q
20201217|AAU|268906|0|495384|Q
20201217|AAWW|33090|0|67578|Q
20201217|AAXJ|99576|0|512633|Q
20201217|AAXN|61840|1313|170409|Q
20201217|AB|65431|459|130640|Q
20201217|ABB|82949|25|165553|Q
20201217|ABBV|481016|3002|1809335|Q
20201217|ABC|80819|0|184149|Q
20201217|ABCB|21298|200|69509|Q
20201217|ABCL|129898|7040|224407|Q
20201217|ABCM|14513|0|31350|Q
20201217|ABEO|399298|3993|665762|Q
20201217|ABEQ|2177|0|2178|Q
20201217|ABEV|3063571|464|4836814|Q
20201217|ABG|11074|0|23037|Q
20201217|ABIO|8377|100|63579|Q
20201217|ABM|77072|188|206055|Q
20201217|ABMD|41222|0|55284|Q
20201217|ABNB|2329622|35513|6021089|Q
20201217|ABR|98560|1001|269409|Q
20201217|ABRpA|931|0|1368|Q
20201217|ABRpB|380|0|380|Q
20201217|ABRpC|333|0|533|Q
20201217|ABST|10155|0|20775|Q
20201217|ABT|335759|673|751053|Q
20201217|ABTX|7066|0|16882|Q
20201217|ABUS|737236|36876|2798940|Q
20201217|AC|1299|0|4749|Q
20201217|ACA|32672|0|40162|Q
20201217|ACACU|9128|0|9502|Q
20201217|ACACW|15|0|15|Q
20201217|ACAD|62467|5473|309289|Q
20201217|ACAM|5987|0|171805|Q
20201217|ACAMU|1000|0|5690|Q
20201217|ACAMW|5930|0|8331|Q
20201217|ACB|2392422|40194|4249942|Q
20201217|ACBI|3429|0|9760|Q
20201217|ACC|71578|0|119150|Q
20201217|ACCD|105484|0|118692|Q
20201217|ACCO|75979|576|162423|Q
20201217|ACEL|46886|0|130698|Q
20201217|ACER|45244|300|85841|Q
20201217|ACES|44271|0|75668|Q
20201217|ACET|36791|0|46474|Q
20201217|ACEV|235|0|396|Q
20201217|ACEVW|350|0|350|Q
20201217|ACGL|275501|0|790597|Q
20201217|ACGLO|1985|500|4653|Q
20201217|ACGLP|2392|0|6354|Q
20201217|ACH|40597|300|77708|Q
20201217|ACHC|112485|17|338091|Q
20201217|ACHV|14749|0|62664|Q
20201217|ACI|269436|1500|552343|Q
20201217|ACIA|22636|0|123627|Q
20201217|ACIC/U|11100|6100|503405|Q
20201217|ACIO|5185|0|13002|Q
20201217|ACIU|54974|1510|160486|Q
20201217|ACIW|20736|300|224947|Q
20201217|ACLS|22018|0|47668|Q
20201217|ACM|54499|0|169559|Q
20201217|ACMR|14683|1300|24317|Q
20201217|ACN|638391|976|1438088|Q
20201217|ACNB|4037|0|4772|Q
20201217|ACND|1630|0|20314|Q
20201217|ACND/U|25|0|25|Q
20201217|ACND/WS|400|400|1514|Q
20201217|ACOR|504311|2652|794677|Q
20201217|ACP|19913|600|54194|Q
20201217|ACRE|39086|0|78778|Q
20201217|ACRS|68297|100|328022|Q
20201217|ACRX|190682|300|569926|Q
20201217|ACSG|44|0|45|Q
20201217|ACST|838843|4066|1189155|Q
20201217|ACTC|11776|54|25391|Q
20201217|ACTCU|4088|0|155652|Q
20201217|ACTCW|18766|4561|134384|Q
20201217|ACTG|66868|0|501802|Q
20201217|ACTV|720|0|1474|Q
20201217|ACU|2500|0|7615|Q
20201217|ACV|8513|0|15366|Q
20201217|ACVF|80|0|98|Q
20201217|ACWF|296|0|1382|Q
20201217|ACWI|339916|10|654852|Q
20201217|ACWV|14778|75|96898|Q
20201217|ACWX|240251|11902|334337|Q
20201217|ACY|4165|818|6821|Q
20201217|ADAP|94793|1700|686169|Q
20201217|ADBE|151983|100|500099|Q
20201217|ADC|71610|0|117243|Q
20201217|ADCT|78009|0|88913|Q
20201217|ADES|20616|0|43305|Q
20201217|ADI|383142|186|879349|Q
20201217|ADIL|24967|6798|90001|Q
20201217|ADILW|10|0|30|Q
20201217|ADM|117917|951|342808|Q
20201217|ADMA|343954|30613|1139248|Q
20201217|ADME|4154|0|7502|Q
20201217|ADMP|266367|10300|567020|Q
20201217|ADMS|5714|0|27940|Q
20201217|ADNT|53866|100|180557|Q
20201217|ADOC|700|700|6976|Q
20201217|ADOCR|542|0|2783|Q
20201217|ADOCW|4396|0|8600|Q
20201217|ADP|202175|5806|295531|Q
20201217|ADPT|63038|368|158343|Q
20201217|ADRE|12609|0|15751|Q
20201217|ADS|76320|0|135321|Q
20201217|ADSK|103491|94|240098|Q
20201217|ADT|340496|11830|1152237|Q
20201217|ADTN|13132|0|39353|Q
20201217|ADTX|109868|1400|294635|Q
20201217|ADUS|7154|0|13256|Q
20201217|ADV|232262|3426|673554|Q
20201217|ADVM|55931|7150|287241|Q
20201217|ADVWW|200|0|24429|Q
20201217|ADX|29689|3865|59855|Q
20201217|ADXN|12|0|1221|Q
20201217|ADXS|387665|3649|818188|Q
20201217|AE|688|0|748|Q
20201217|AEB|3490|77|11069|Q
20201217|AEE|183291|39|531113|Q
20201217|AEF|18354|0|31721|Q
20201217|AEFC|13918|900|26235|Q
20201217|AEG|189865|6300|560464|Q
20201217|AEGN|8237|0|11449|Q
20201217|AEHL|130566|2515|197213|Q
20201217|AEHR|14731|100|49228|Q
20201217|AEIS|32369|1200|48878|Q
20201217|AEL|22415|0|207481|Q
20201217|AELpA|1496|0|3888|Q
20201217|AELpB|5252|0|10908|Q
20201217|AEM|134124|0|222029|Q
20201217|AEMD|390069|19804|1307735|Q
20201217|AENZ|181|0|6592|Q
20201217|AEO|284950|19|608885|Q
20201217|AEP|267949|54|640001|Q
20201217|AEPPL|3542|0|8866|Q
20201217|AEPPZ|2100|0|52538|Q
20201217|AER|52089|171|332196|Q
20201217|AERI|33721|477|76416|Q
20201217|AES|625168|400|1740545|Q
20201217|AESE|384659|27140|771903|Q
20201217|AESR|21129|0|22422|Q
20201217|AEY|38870|6437|260205|Q
20201217|AEYE|28511|330|59364|Q
20201217|AEZS|99643|13600|210438|Q
20201217|AFB|17263|0|27642|Q
20201217|AFC|770|0|2017|Q
20201217|AFG|52230|0|78146|Q
20201217|AFGB|3162|0|6359|Q
20201217|AFGC|835|388|3542|Q
20201217|AFGD|599|0|5073|Q
20201217|AFI|31881|953|80885|Q
20201217|AFIB|3577|0|35040|Q
20201217|AFIF|167807|0|177757|Q
20201217|AFIN|97912|2677|159471|Q
20201217|AFINP|890|0|6062|Q
20201217|AFK|20890|1600|25614|Q
20201217|AFL|282010|1560|531079|Q
20201217|AFMD|43639|1320|193457|Q
20201217|AFT|6076|0|20021|Q
20201217|AFTY|2|0|61|Q
20201217|AFYA|20323|0|182882|Q
20201217|AG|802855|8972|2251971|Q
20201217|AGBA|25|0|65|Q
20201217|AGBAR|7|0|7|Q
20201217|AGBAW|12625|0|17625|Q
20201217|AGC|10101|0|12322|Q
20201217|AGCO|98276|0|311760|Q
20201217|AGCUU|10708|0|18717|Q
20201217|AGCWW|725|0|725|Q
20201217|AGD|3188|0|15901|Q
20201217|AGE|25851|0|98388|Q
20201217|AGEN|321302|1572|599943|Q
20201217|AGFS|4706|0|16084|Q
20201217|AGG|1366453|200|2844756|Q
20201217|AGGP|550|0|551|Q
20201217|AGGY|11038|0|58664|Q
20201217|AGI|245938|401|798379|Q
20201217|AGIO|108319|0|283713|Q
20201217|AGLE|10128|426|60799|Q
20201217|AGM|2404|0|9732|Q
20201217|AGMH|721|0|724|Q
20201217|AGMpE|100|0|1920|Q
20201217|AGMpF|200|0|3800|Q
20201217|AGNC|489055|1077|1070591|Q
20201217|AGNCM|1956|0|9543|Q
20201217|AGNCN|3103|0|5964|Q
20201217|AGNCO|5930|0|8629|Q
20201217|AGNCP|16400|0|32620|Q
20201217|AGO|50161|3069|141354|Q
20201217|AGOpB|1140|0|2356|Q
20201217|AGOpE|804|0|1618|Q
20201217|AGOpF|1721|0|1821|Q
20201217|AGQ|193362|14720|624924|Q
20201217|AGR|137000|100|190566|Q
20201217|AGRO|12662|0|39005|Q
20201217|AGRX|89636|294|237581|Q
20201217|AGS|58329|4577|144960|Q
20201217|AGTC|11603|0|39346|Q
20201217|AGX|16448|0|36012|Q
20201217|AGYS|9960|0|26247|Q
20201217|AGZ|7318|0|68098|Q
20201217|AGZD|50|0|1661|Q
20201217|AHAC|800|0|6782|Q
20201217|AHACU|1500|0|2394|Q
20201217|AHACW|154|0|154|Q
20201217|AHC|9506|1489|32778|Q
20201217|AHCO|94269|100|396006|Q
20201217|AHH|6882|0|60220|Q
20201217|AHHpA|1773|0|3919|Q
20201217|AHLpC|1759|0|7372|Q
20201217|AHLpD|1575|500|2023|Q
20201217|AHLpE|1391|0|3048|Q
20201217|AHPI|14295|0|21534|Q
20201217|AHT|277714|12322|1019455|Q
20201217|AHTpD|1446|0|1900|Q
